t,man_mode,MV,MVP,MVI,MVD,MVFF,MVMan,DV,SP,PV
0.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.082000000000000028e+01
1.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,7.786816650976356868e+01,1.712957003461547600e+01,2.263455620953982398e-03,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.076000000000000156e+01
2.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,7.808710231063450635e+01,1.691289129248847445e+01,6.396877018042197454e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.057000000000000028e+01
3.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,7.878039901339248274e+01,1.621958083391060867e+01,2.015269690693512414e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.062999999999999901e+01
4.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,7.856146321252154507e+01,1.643854315116574938e+01,-6.363687292928588469e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.060000000000000142e+01
5.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,7.867093111295700680e+01,1.632906570514538558e+01,3.181897605894186502e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.060000000000000142e+01
6.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,7.867093111295700680e+01,1.632906888699674752e+01,4.624536793516369995e-11,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.062999999999999901e+01
7.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,7.856146321252154507e+01,1.643853996946855034e+01,-3.181990094389450129e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.078999999999999915e+01
8.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,7.797763441019904462e+01,1.702238256046104325e+01,-1.697066008704193295e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.089000000000000057e+01
9.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,7.761274140874746763e+01,1.738726919813283089e+01,-1.060688030000993754e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.092000000000000171e+01
1.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.750327350831200590e+01,1.749672967383224886e+01,-3.182144254353944798e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.117999999999999972e+01
1.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.655455170453794267e+01,1.844547587275579659e+01,-2.757729373948836072e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.121000000000000085e+01
1.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.644508380410246673e+01,1.855491937828843518e+01,-3.182390900572876162e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.153000000000000114e+01
1.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.527742619945746583e+01,1.972260774181646781e+01,-3.394127393319699358e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.153000000000000114e+01
1.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.527742619945746583e+01,1.972257380103583202e+01,-4.932989353024057074e-10,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.185999999999999943e+01
1.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.407327929466731575e+01,2.092675570722373735e+01,-3.500189105284952617e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.210999999999999943e+01
1.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.316104679103840169e+01,2.183897972605443627e+01,-2.651709283934916111e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.239999999999999858e+01
1.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.210285708682887673e+01,2.289717367279410709e+01,-3.075962298225923269e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.250000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.173796408537731395e+01,2.326204652170339315e+01,-1.060708070735848049e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.282000000000000028e+01
1.900000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,7.057030648073229884e+01,2.442972746064954492e+01,-3.394138184286425226e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.314000000000000057e+01
2.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,6.940264887608729794e+01,2.559738506563368432e+01,-3.394172098116321181e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.342999999999999972e+01
2.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,6.834445917187777297e+01,2.665557158785311742e+01,-3.075973089103026275e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.371999999999999886e+01
2.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,6.728626946766824801e+01,2.771376129201639671e+01,-3.075968464431817545e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.389000000000000057e+01
2.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,6.666595136520058418e+01,2.833406666652367889e+01,-1.803172426339897381e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.417999999999999972e+01
2.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,6.560776166099104501e+01,2.939226909850861347e+01,-3.075949965679736339e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.442999999999999972e+01
2.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,6.469552915736214516e+01,3.030449735966903546e+01,-2.651703118087508879e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.485000000000000142e+01
2.600000000000000000e+01,1.000000000000000000e+00,9.500000000000001421e+01,6.316297855126556726e+01,3.183706599698115980e+01,-4.454824672663130054e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.507999999999999829e+01
2.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,6.232372464792698707e+01,3.267629974797786474e+01,-2.439590485504529509e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.539999999999999858e+01
2.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,6.115606704328197907e+01,3.384396689830026617e+01,-3.394158224819625709e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.571999999999999886e+01
2.900000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,5.998840943863697817e+01,3.501162450308400764e+01,-3.394172098407588028e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.607999999999999829e+01
3.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,5.867479463341135215e+01,3.632524355096309421e+01,-3.818437444617461384e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.639999999999999858e+01
3.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,5.750713702876635125e+01,3.749289691301629546e+01,-3.394178264837517098e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.668999999999999773e+01
3.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,5.644894732455681918e+01,3.855108343517407121e+01,-3.075973089192653203e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.700999999999999801e+01
3.300000000000000000e+01,1.000000000000000000e+00,9.499999999999998579e+01,5.528128971991181828e+01,3.971874422176291830e+01,-3.394167473938013797e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.732999999999999829e+01
3.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,5.411363211526681027e+01,4.088640182645417553e+01,-3.394172098542014190e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.765999999999999659e+01
3.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,5.290948521047666020e+01,4.209054979190769075e+01,-3.500238435111267842e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.795000000000000284e+01
3.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,5.185129550626710682e+01,4.314873525347920236e+01,-3.075974630660181233e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.829999999999999716e+01
3.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,5.057417000118665840e+01,4.442586712247817360e+01,-3.712366483466537161e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.861999999999999744e+01
3.800000000000000000e+01,1.000000000000000000e+00,9.500000000000001421e+01,4.940651239654165039e+01,4.559352154522558465e+01,-3.394176723213230374e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.895000000000000284e+01
3.900000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,4.820236549175147189e+01,4.679766951063287905e+01,-3.500238435178557495e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.927000000000000313e+01
4.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,4.703470788710647099e+01,4.796532605462993359e+01,-3.394173640166301591e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.953000000000000114e+01
4.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,4.608598608333241486e+01,4.891404149440838012e+01,-2.757774079619243192e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,3.975000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,4.528322148013897674e+01,4.971680185485586634e+01,-2.333499484246170995e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.007000000000000028e+01
4.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,4.411556387549397584e+01,5.088447006607285061e+01,-3.394156682904078237e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.035999999999999943e+01
4.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,4.305737417128444378e+01,5.194265658844644662e+01,-3.075973088878983350e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.056000000000000227e+01
4.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,4.232758816838131111e+01,5.267243304533305093e+01,-2.121371435913304004e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.093999999999999773e+01
4.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,4.094099476286538675e+01,5.405904554265080009e+01,-4.030551618869464032e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.120000000000000284e+01
4.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,3.999227295909130220e+01,5.500775461874198413e+01,-2.757783328670487656e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.152000000000000313e+01
4.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,3.882461535444630130e+01,5.617541858718219316e+01,-3.394162849401221064e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.185000000000000142e+01
4.900000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,3.762046844965614412e+01,5.737956655272820683e+01,-3.500238434976842358e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.214000000000000057e+01
5.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,3.656227874544661915e+01,5.843775201429969002e+01,-3.075974630660103983e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.239000000000000057e+01
5.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,3.565004624181770509e+01,5.934998027521348263e+01,-2.651703118445987114e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.254999999999999716e+01
5.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,3.506621743949521885e+01,5.993379953150401462e+01,-1.697099923609493799e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.281000000000000227e+01
5.300000000000000000e+01,1.000000000000000000e+00,9.499999999999998579e+01,3.411749563572113431e+01,6.088253194177300998e+01,-2.757749414526925575e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.313000000000000256e+01
5.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,3.294983803107613340e+01,6.205019591055235395e+01,-3.394162848908316329e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.346000000000000085e+01
5.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,3.174569112628597978e+01,6.325434387609837472e+01,-3.500238434976834904e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.367999999999999972e+01
5.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,3.094292652309254521e+01,6.405709681201020089e+01,-2.333510275145673279e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.384000000000000341e+01
5.700000000000000000e+01,1.000000000000000000e+00,9.500000000000001421e+01,3.035909772077003055e+01,6.464091925018296081e+01,-1.697095299027971967e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.410000000000000142e+01
5.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,2.941037591699597442e+01,6.558965166049817697e+01,-2.757749414459636600e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.442000000000000171e+01
5.900000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,2.824271831235096997e+01,6.675731562927751384e+01,-3.394162848908315652e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.471000000000000085e+01
6.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,2.718452860814144145e+01,6.781550215158944184e+01,-3.075973088968599436e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.490999999999999659e+01
6.100000000000000000e+01,1.000000000000000000e+00,9.500000000000001421e+01,2.645474260523833010e+01,6.854527860847603904e+01,-2.121371435913229803e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.522999999999999687e+01
6.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,2.528708500059332920e+01,6.971294894094268102e+01,-3.394153599857148776e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.546000000000000085e+01
6.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,2.444783109725471704e+01,7.055219329849597898e+01,-2.439575069821859712e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.571000000000000085e+01
6.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,2.353559859362581008e+01,7.146442792331288274e+01,-2.651693869081145642e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.603999999999999915e+01
6.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,2.233145168883565646e+01,7.266858331344077726e+01,-3.500227644010121234e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.628999999999999915e+01
6.600000000000000000e+01,1.000000000000000000e+00,9.500000000000001421e+01,2.141921918520674950e+01,7.358080733188610623e+01,-2.651709284495033927e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.645000000000000284e+01
6.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,2.083539038288423484e+01,7.416462658811499864e+01,-1.697099923699186118e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.667999999999999972e+01
6.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.999613647954565110e+01,7.500388791595840132e+01,-2.439550405020656139e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.700000000000000000e+01
6.900000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.882847887490064664e+01,7.617155506668160569e+01,-3.394158224237100145e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.732000000000000028e+01
7.000000000000000000e+01,1.000000000000000000e+00,9.500000000000001421e+01,1.766082127025564574e+01,7.733921267146534717e+01,-3.394172098407579897e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.752000000000000313e+01
7.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.693103526735250952e+01,7.806898594640809108e+01,-2.121376060584520527e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.764999999999999858e+01
7.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.645667436546549212e+01,7.854333942346657693e+01,-1.378893206385152410e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.796999999999999886e+01
7.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.528901676082048944e+01,7.971101718060759822e+01,-3.394142808756000812e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.800000000000000000e+01
7.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.517954886038501527e+01,7.982045432209838509e+01,-3.182483396237717610e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.828999999999999915e+01
7.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.412135915617548498e+01,8.087867160310835857e+01,-3.075928383947936721e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.852000000000000313e+01
7.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.328210525283687637e+01,8.171791914286757219e+01,-2.439570444769762289e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.864999999999999858e+01
7.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.280774435094986075e+01,8.219226943802844687e+01,-1.378897830989144841e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.893999999999999773e+01
7.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.174955464674033045e+01,8.325047611269765468e+01,-3.075943799317018996e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,4.915999999999999659e+01
