t,man_mode,MV,MVP,MVI,MVD,MVFF,MVMan,DV,SP,PV
0.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,9.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.344000000000000128e+01
1.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.047972700168889304e+02,-9.800316242073270345e+00,3.046225184339192843e-03,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.335000000000000142e+01
2.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.051256737181953298e+02,-1.012568330843913422e+01,9.590243804296266894e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.344000000000000128e+01
3.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.047972700168889304e+02,-9.797260471058029552e+00,-9.545830901582280425e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.348000000000000043e+01
4.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.046513128163083053e+02,-9.651308573516107714e+00,-4.242792198193054190e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.348000000000000043e+01
5.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.046513128163083053e+02,-9.651312816246640836e+00,-6.166429928933568431e-11,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.351000000000000156e+01
6.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.045418449158728293e+02,-9.541841733882733934e+00,-3.181990095958174629e-06,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.369999999999999929e+01
7.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.038485482131148672e+02,-8.848528060464685652e+00,-2.015265018210353294e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.380000000000000071e+01
8.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.034836552116633044e+02,-8.483644604736758410e+00,-1.060692654672210108e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.392999999999999972e+01
9.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+01,1.030092943097762799e+02,-8.009280520998375508e+00,-1.378877790523196910e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.412000000000000099e+01
1.000000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.023159976070183035e+02,-7.315977454213963505e+00,-2.015280434005165171e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.435000000000000142e+01
1.100000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.014767437036797020e+02,-6.476719308129407437e+00,-2.439555029423044394e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.448000000000000043e+01
1.200000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,1.010023828017926775e+02,-6.002369012814369853e+00,-1.378897830765137491e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.476999999999999957e+01
1.300000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.994419309758313830e+01,-4.944162338145145164e+00,-3.075943799317016285e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.508999999999999986e+01
1.400000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.877653549293813739e+01,-3.776501551263402146e+00,-3.394167473512317400e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.521999999999999886e+01
1.500000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.830217459105111288e+01,-3.302160801934062917e+00,-1.378911705002834559e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.546999999999999886e+01
1.600000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.738994208742219882e+01,-2.389915570637663578e+00,-2.651678453510427513e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.582999999999999829e+01
1.700000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.607632728219657281e+01,-1.076289097930039906e+00,-3.818426653292267785e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.605000000000000071e+01
1.800000000000000000e+01,1.000000000000000000e+00,9.500000000000000000e+01,9.527356267900313469e+01,-2.735393438541380839e-01,-2.333514899660089434e-05,0.000000000000000000e+00,9.500000000000000000e+01,5.000000000000000000e+01,5.215999999999999659e+01,2.637999999999999901e+01
